rental	Album	buttguts
4.00 stars	Neutral Milk Hotel - In the Aeroplane Over the Sea	3.50 stars
4.00 stars	OutKast - ATLiens	5.00 stars
3.00 stars	Van Dyke Parks - Song Cycle	2.50 stars
4.00 stars	Pere Ubu - The Modern Dance	4.50 stars
4.00 stars	Ariel Pink - Pom Pom	3.00 stars
4.00 stars	Pink Floyd - The Piper at the Gates of Dawn	3.50 stars
3.50 stars	Pink Floyd - The Dark Side of the Moon	3.50 stars
4.00 stars	Pissed Jeans - King of Jeans	3.00 stars
4.00 stars	Poison Idea - Feel the Darkness	5.00 stars
4.00 stars	Viet Cong - Viet Cong	3.00 stars
3.00 stars	The Psychic Paramount - II	4.00 stars
3.50 stars	The Raincoats - The Raincoats	4.00 stars
4.00 stars	Ramones - Ramones	4.00 stars
3.50 stars	Rapeman - Two Nuns and a Pack Mule	3.50 stars
3.50 stars	Jay Reatard - Blood Visions	4.50 stars
4.00 stars	The Red Crayola with The Familiar Ugly - The Parable of Arable Land	4.00 stars
3.50 stars	Steve Reich - Music for 18 Musicians	3.50 stars
3.00 stars	Catherine Ribeiro + Alpes - Paix	3.50 stars
3.00 stars	Terry Riley - A Rainbow in Curved Air	4.00 stars
4.00 stars	Rudimentary Peni - Farce	4.00 stars
4.00 stars	Rudimentary Peni - Death Church	4.50 stars
4.00 stars	Rudimentary Peni - Cacophony	4.50 stars
3.50 stars	Sex Vid - Communal Living	4.00 stars
3.50 stars	Shellac - 1000 Hurts	3.50 stars
3.00 stars	Shit and Shine - Ladybird	3.50 stars
4.00 stars	Slimy Member - Demo	3.50 stars
4.00 stars	Slimy Member - E.P.	3.50 stars
3.00 stars	Slug Guts - Playin’ In Time with the Deadbeat	4.00 stars
4.00 stars	The Smiths - The Queen Is Dead	4.00 stars
3.50 stars	The Sonic Youth - Sister	4.50 stars
3.50 stars	Sonic Youth - Dirty	4.00 stars
4.00 stars	The Sound - Jeopardy	4.50 stars
4.00 stars	Sun City Girls - 330,003 Crossdressers From Beyond the Rig Veda	4.50 stars
3.50 stars	Pete Swanson - Man With Potential	4.50 stars
4.00 stars	Swell Maps - A Trip to Marineville	4.00 stars
4.00 stars	Swell Maps - ...In "Jane From Occupied Europe"	4.00 stars
3.50 stars	Talking Heads - Remain in Light	3.50 stars
2.50 stars	Test Icicles - For Screening Purposes Only	2.50 stars
3.50 stars	Thinking Fellers Union Local 282 - Lovelyville	4.00 stars
3.50 stars	Thinking Fellers Union Local 282 - Mother of All Saints	4.00 stars
4.00 stars	Thinking Fellers Union Local 282 - Strangers From the Universe	4.00 stars
4.00 stars	This Heat - This Heat	4.50 stars
3.50 stars	Throbbing Gristle - 20 Jazz Funk Greats	4.50 stars
3.50 stars	Throwing Muses - Throwing Muses	3.50 stars
3.50 stars	T.S.O.L. - Dance With Me	4.00 stars
4.00 stars	U.S. Maple - Long Hair in Three Stages	3.50 stars
4.00 stars	U.V. PØP - No Songs Tomorrow	4.00 stars
3.50 stars	Various Artists - Anthology of American Folk Music	3.00 stars
4.00 stars	Various Artists - No New York	4.50 stars
