rental	Album	rmedw1044
4.00 stars	Freddie Gibbs & Madlib - Bandana	3.50 stars
3.00 stars	LINGUA IGNOTA - Caligula	3.50 stars
4.00 stars	Tropical Fuck Storm - Braindrops	3.50 stars
3.00 stars	Murmuüre - Murmuüre	3.50 stars
4.00 stars	My Bloody Valentine - Loveless	4.00 stars
3.50 stars	Le Mystère des voix bulgares - Le mystère des voix bulgares : volume 1	4.00 stars
3.50 stars	Natural Snow Buildings - The Dance of the Moon and the Sun	4.00 stars
4.00 stars	Neutral Milk Hotel - In the Aeroplane Over the Sea	4.00 stars
3.50 stars	Lee Noble - No Becoming	3.00 stars
4.00 stars	No Sister - No Sister	3.00 stars
3.50 stars	The Olivia Tremor Control - Music From the Unrealized Film Script, Dusk at Cubist Castle	3.00 stars
4.00 stars	OutKast - ATLiens	4.00 stars
3.00 stars	The Pains of Being Pure at Heart - The Pains of Being Pure at Heart	2.50 stars
4.00 stars	Pere Ubu - The Modern Dance	4.00 stars
4.00 stars	Pink Floyd - The Piper at the Gates of Dawn	3.50 stars
3.50 stars	Pink Floyd - The Dark Side of the Moon	4.00 stars
4.00 stars	Pissed Jeans - King of Jeans	3.00 stars
4.00 stars	Viet Cong - Cassette	3.00 stars
4.00 stars	Viet Cong - Viet Cong	4.00 stars
3.50 stars	Protomartyr - Under Color of Official Right	3.00 stars
4.00 stars	Protomartyr - The Agent Intellect	3.50 stars
4.00 stars	Protomartyr - Consolation E.P.	3.50 stars
3.00 stars	The Psychic Paramount - II	3.00 stars
3.00 stars	Public Enemy - It Takes a Nation of Millions to Hold Us Back	4.00 stars
3.50 stars	Pylon - Gyrate	3.50 stars
4.00 stars	Radiohead - OK Computer	3.00 stars
4.00 stars	Radiohead - Kid A	3.50 stars
3.00 stars	raison d'être - The Empty Hollow Unfolds	4.00 stars
4.00 stars	Otis Redding - Otis Blue: Otis Redding Sings Soul	4.00 stars
3.50 stars	Steve Reich - Music for 18 Musicians	4.00 stars
3.50 stars	Residents - Meet the Residents	3.00 stars
3.50 stars	Terry Riley - In C	3.50 stars
