rental	Album	josenyc
4.50 stars	Deerhunter - Halcyon Digest	4.00 stars
3.00 stars	Shinsei Kamattechan - つまんね (Tsumanne)	4.00 stars
3.50 stars	Destroyer - Kaputt	4.50 stars
4.00 stars	Grouper - A I A: Alien Observer	4.00 stars
4.00 stars	Death Grips - Exmilitary	4.00 stars
3.50 stars	Fleet Foxes - Helplessness Blues	4.50 stars
4.00 stars	The Caretaker - An Empty Bliss Beyond This World	3.50 stars
3.00 stars	Shabazz Palaces - Black Up	3.50 stars
4.00 stars	Danny Brown - XXX	4.00 stars
3.00 stars	Julia Holter - Tragedy	3.50 stars
4.00 stars	Car Seat Headrest - Twin Fantasy	4.00 stars
4.00 stars	Mac DeMarco - Rock and Roll Night Club	3.00 stars
4.00 stars	Lil Ugly Mane - Mista Thug Isolation	4.00 stars
3.00 stars	Lil B - God's Father	3.50 stars
3.50 stars	Julia Holter - Ekstasis	3.50 stars
3.50 stars	Death Grips - The Money Store	4.00 stars
4.00 stars	Beach House - Bloom	3.50 stars
4.00 stars	Tame Impala - Lonerism	3.00 stars
4.00 stars	Mac DeMarco - 2	3.50 stars
4.00 stars	Kendrick Lamar - good kid, m.A.A.d city	4.00 stars
3.00 stars	Tim Hecker & Daniel Lopatin - Instrumental Tourist	3.50 stars
3.50 stars	Vampire Weekend - Modern Vampires of the City	3.50 stars
3.50 stars	Julia Holter - Loud City Song	4.00 stars
3.00 stars	MGMT - MGMT	3.50 stars
4.00 stars	Huerco S. - Colonial Patterns	4.00 stars
4.00 stars	Oneohtrix Point Never - R Plus Seven	4.50 stars
3.50 stars	DJ Rashad - Double Cup	4.00 stars
4.00 stars	Freddie Gibbs & Madlib - Piñata	3.50 stars
4.00 stars	Mac DeMarco - Salad Days	3.50 stars
4.00 stars	Ought - More Than Any Other Day	3.50 stars
3.00 stars	Run the Jewels - Run the Jewels 2	4.00 stars
3.50 stars	Richard Dawson - Nothing Important	4.00 stars
3.00 stars	D'Angelo and The Vanguard - Black Messiah	3.50 stars
3.00 stars	２８１４ - 新しい日の誕生 (Atarashī hi no tanjō)	3.00 stars
4.00 stars	Earl Sweatshirt - I Don't Like Shit, I Don't Go Outside	4.00 stars
3.50 stars	Courtney Barnett - Sometimes I Sit and Think, and Sometimes I Just Sit	3.50 stars
3.50 stars	Earl Sweatshirt - Solace	4.00 stars
3.00 stars	Prurient - Frozen Niagara Falls	3.50 stars
3.00 stars	Carly Rae Jepsen - E·MO·TION	3.50 stars
3.50 stars	Mac DeMarco - Another One	3.50 stars
4.00 stars	Travis Scott - Rodeo	4.00 stars
4.00 stars	Julia Holter - Have You in My Wilderness	3.50 stars
3.50 stars	Joanna Newsom - Divers	3.50 stars
3.50 stars	Julien Baker - Sprained Ankle	3.50 stars
3.50 stars	Oneohtrix Point Never - Garden of Delete	4.50 stars
3.50 stars	SOPHIE - Product	3.00 stars
4.00 stars	David Bowie - ★ [Blackstar]	4.50 stars
3.50 stars	Kendrick Lamar - untitled unmastered.	3.50 stars
4.50 stars	Denzel Curry - Imperial	4.00 stars
3.50 stars	Deakin - Sleep Cycle	4.00 stars
3.50 stars	Tim Hecker - Love Streams	3.50 stars
4.00 stars	King Gizzard and the Lizard Wizard - Nonagon Infinity	3.50 stars
3.00 stars	White Lung - Paradise	3.50 stars
3.50 stars	Death Grips - Bottomless Pit	3.50 stars
3.50 stars	Radiohead - A Moon Shaped Pool	4.00 stars
4.00 stars	Car Seat Headrest - Teens of Denial	3.00 stars
3.50 stars	The Avalanches - Wildflower	3.50 stars
3.50 stars	Preoccupations - Preoccupations	3.00 stars
4.00 stars	Danny Brown - Atrocity Exhibition	4.00 stars
4.50 stars	Weyes Blood - Front Row Seat to Earth	3.50 stars
3.50 stars	A Tribe Called Quest - We got it from Here… Thank You 4 Your service	4.00 stars
3.50 stars	Bedwetter - Volume 1: Flick Your Tongue Against Your Teeth and Describe the Present.	3.50 stars
3.00 stars	King Gizzard and the Lizard Wizard - Flying Microtonal Banana	3.00 stars
4.00 stars	Xiu Xiu - FORGET	3.00 stars
3.50 stars	Blanck Mass - World Eater	3.50 stars
4.00 stars	Idles - Brutalism	3.50 stars
3.00 stars	Mount Eerie - A Crow Looked at Me	4.00 stars
3.50 stars	Gnod - Just Say No to the Psycho Right-Wing Capitalist Fascist Industrial Death Machine	3.50 stars
3.50 stars	Mac DeMarco - This Old Dog	3.50 stars
3.50 stars	Forest Swords - Compassion	3.50 stars
4.00 stars	Death Grips - Steroids (Crouching Tiger Hidden Gabber Megamix)	4.00 stars
4.00 stars	Richard Dawson - Peasant	4.00 stars
3.50 stars	Lingua Ignota - All Bitches Die	3.50 stars
4.00 stars	Brockhampton - Saturation	3.00 stars
3.00 stars	Vince Staples - Big Fish Theory	3.00 stars
4.50 stars	Tyler, the Creator - Flower Boy	4.00 stars
3.50 stars	Milo - Who Told You to Think​?​?​!​!​?​!​?​!​?​!	3.00 stars
3.50 stars	Denzel Curry - 13	3.50 stars
3.50 stars	Chelsea Wolfe - Hiss Spun	3.00 stars
4.00 stars	Iglooghost - Neō Wax Bloom	3.50 stars
4.50 stars	Protomartyr - Relatives in Descent	4.00 stars
3.50 stars	King Krule - The Ooz	2.50 stars
3.50 stars	Bibio - Phantom Brickworks	3.50 stars
3.50 stars	Charli XCX - Pop 2	4.00 stars
4.00 stars	Brockhampton - Saturation III	3.50 stars
3.00 stars	Pendant - Make Me Know You Sweet	3.50 stars
4.00 stars	JPEGMAFIA - Veteran	3.50 stars
3.00 stars	Natalia Lafourcade - Musas Vol. 2	4.00 stars
