rental	Album	tmonk11
4.00 stars	Protomartyr - Consolation E.P.	5.00 stars
3.50 stars	Pylon - Gyrate	4.50 stars
4.00 stars	Radiohead - OK Computer	4.50 stars
4.00 stars	Radiohead - Kid A	5.00 stars
3.50 stars	Ramones - Ramones	4.50 stars
3.50 stars	Rapeman - Two Nuns and a Pack Mule	4.50 stars
3.50 stars	Steve Reich - Music for 18 Musicians	4.50 stars
3.50 stars	R.E.M. - Reckoning	4.50 stars
3.50 stars	R.E.M. - Lifes Rich Pageant	4.50 stars
3.50 stars	Residents - Meet the Residents	4.50 stars
4.00 stars	Royal Headache - Royal Headache	4.50 stars
3.50 stars	The Saints - Eternally Yours	4.50 stars
4.00 stars	Sex Church - 6 Songs by Sex Church	4.50 stars
4.50 stars	Sheer Mag - Sheer Mag	5.00 stars
5.00 stars	Sheer Mag - II 7"	5.00 stars
3.50 stars	Shellac - 1000 Hurts	4.50 stars
4.00 stars	The Smiths - Hatful of Hollow	5.00 stars
4.00 stars	The Smiths - The Queen Is Dead	4.50 stars
3.50 stars	The Sonic Youth - Sister	4.50 stars
3.50 stars	Sonic Youth - Dirty	4.50 stars
3.50 stars	Spoon - Kill the Moonlight	4.50 stars
4.00 stars	Stars of the Lid - The Tired Sounds Of	4.50 stars
3.50 stars	Stereolab - Mars Audiac Quintet	4.50 stars
3.50 stars	Suede - Dog Man Star	4.50 stars
4.00 stars	Sun City Girls - 330,003 Crossdressers From Beyond the Rig Veda	5.00 stars
4.00 stars	Swell Maps - A Trip to Marineville	5.00 stars
4.00 stars	Swell Maps - ...In "Jane From Occupied Europe"	5.00 stars
4.00 stars	Talking Heads - The Name of This Band Is Talking Heads	5.00 stars
4.00 stars	Talk Talk - Spirit of Eden	5.00 stars
3.50 stars	Tall Dwarfs - Hello Cruel World	4.50 stars
4.00 stars	This Heat - This Heat	4.50 stars
3.50 stars	This Heat - Health and Efficiency	4.50 stars
4.50 stars	Total Control - Henge Beat	5.00 stars
4.50 stars	Total Control - Laughing at the System	5.00 stars
3.50 stars	Twerps - The Twerps	4.50 stars
4.00 stars	Twerps - The Twerps	4.50 stars
4.00 stars	Tyvek - Fast Metabolism	4.50 stars
4.00 stars	Tyvek - Tyvek	4.50 stars
4.50 stars	Tyvek - Nothing Fits	5.00 stars
4.00 stars	Tyvek - On Triple Beams	4.50 stars
4.50 stars	Tyvek - Changing Patterns of Protective Coating	5.00 stars
3.50 stars	Ultimate Painting - Ultimate Painting	4.50 stars
3.50 stars	Unrest - Tink of SE [aka State Champs]	4.50 stars
4.00 stars	Uranium Club - All of Them Naturals	5.00 stars
4.50 stars	The Urinals - Negative Capability... Check It Out!	5.00 stars
4.00 stars	U.S. Maple - Long Hair in Three Stages	5.00 stars
3.50 stars	The UV Race - Homo	4.50 stars
4.00 stars	V3 - Photograph Burns	4.50 stars
4.50 stars	The Velvet Underground - White Light / White Heat	5.00 stars
