rental	Album	Fietspomp
3.50 stars	Sixteen Horsepower - Sackcloth 'n' Ashes	4.00 stars
3.50 stars	Silkworm - Firewater	3.50 stars
3.00 stars	The Auteurs - After Murder Park	3.50 stars
3.50 stars	Stereolab - Emperor Tomato Ketchup	3.00 stars
4.00 stars	Brainiac - Hissing Prigs in Static Couture	4.00 stars
3.50 stars	Unwound - Repetition	4.00 stars
3.50 stars	Gastr del Sol - Upgrade & Afterlife	3.00 stars
3.00 stars	Beck - Odelay	3.00 stars
3.50 stars	Eels - Beautiful Freak	4.00 stars
4.00 stars	Weezer - Pinkerton	4.00 stars
3.50 stars	Swans - Soundtracks for the Blind	4.00 stars
4.00 stars	Aphex Twin - Richard D. James Album	4.00 stars
3.50 stars	Labradford - Labradford	3.50 stars
4.00 stars	Belle and Sebastian - If You're Feeling Sinister	3.50 stars
3.50 stars	DJ Shadow - Endtroducing.....	4.00 stars
4.00 stars	Laddio Bolocko - Strange Warmings of Laddio Bolocko	4.00 stars
3.50 stars	Pavement - Brighten the Corners	4.00 stars
3.00 stars	Elliott Smith - Either / Or	3.50 stars
3.00 stars	Sleater-Kinney - Dig Me Out	4.00 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	4.00 stars
3.00 stars	Squarepusher - Hard Normal Daddy	3.50 stars
3.00 stars	Spiritualized® - Ladies and Gentlemen We Are Floating in Space	3.50 stars
3.50 stars	Modest Mouse - The Lonesome Crowded West	4.00 stars
3.50 stars	Labradford - Mi media naranja	3.50 stars
3.50 stars	Unwound - Challenge for a Civilized Society	3.50 stars
3.00 stars	Swans - Swans Are Dead	3.50 stars
3.00 stars	AIR - Moon Safari	3.50 stars
3.50 stars	Tortoise - TNT	3.50 stars
3.50 stars	Boards of Canada - Music Has the Right to Children	4.00 stars
3.00 stars	Uzeda - Different Section Wires	3.50 stars
4.50 stars	Royal Trux - Accelerator	3.50 stars
4.00 stars	Don Caballero - What Burns Never Returns	4.00 stars
3.00 stars	Mercury Rev - Deserter's Songs	3.50 stars
3.00 stars	Smog - Knock Knock	3.50 stars
3.50 stars	Pavement - Terror Twilight	3.50 stars
3.50 stars	The Flaming Lips - The Soft Bulletin	3.50 stars
2.50 stars	Beulah - When Your Heartstrings Break	3.00 stars
4.00 stars	The Magnetic Fields - 69 Love Songs	3.50 stars
3.00 stars	The Get Up Kids - Something to Write Home About	4.00 stars
3.50 stars	The Dismemberment Plan - Emergency & I	4.00 stars
3.50 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	3.50 stars
3.00 stars	Dirty Three - Whatever You Love, You Are	4.00 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	3.50 stars
3.50 stars	Avey Tare and Panda Bear - Spirit They're Gone Spirit They've Vanished	4.00 stars
3.50 stars	Electric Wizard - Dopethrone	3.50 stars
4.50 stars	Joy Division - Les Bains Douches 18 December 1979	3.50 stars
4.00 stars	múm - Yesterday Was Dramatic - Today Is OK	3.50 stars
4.00 stars	Unwound - Leaves Turn Inside You	3.50 stars
4.50 stars	Fennesz - Endless Summer	4.00 stars
3.00 stars	Sparklehorse - It's a Wonderful Life	3.50 stars
4.00 stars	Converge - Jane Doe	3.00 stars
3.50 stars	Fugazi - The Argument	3.00 stars
3.50 stars	Hood - Cold House	3.50 stars
3.50 stars	Jim O'Rourke - Insignificance	4.00 stars
3.00 stars	Tim Hecker - Haunt Me, Haunt Me Do It Again	4.00 stars
3.50 stars	Jay Munly - Jimmy Carter Syndrome	3.50 stars
4.00 stars	Indian Summer - Science 1994	4.00 stars
4.50 stars	Wilco - Yankee Hotel Foxtrot	3.50 stars
3.00 stars	Sonic Youth - Murray Street	3.50 stars
3.50 stars	Spoon - Kill the Moonlight	3.00 stars
4.00 stars	Interpol - Turn On the Bright Lights	4.50 stars
3.50 stars	Queens of the Stone Age - Songs for the Deaf	3.00 stars
3.50 stars	Xiu Xiu - Chapel of the Chimes	3.50 stars
4.00 stars	Broken Social Scene - You Forgot It in People	3.50 stars
4.00 stars	Theoretical Girls - Theoretical Girls	4.50 stars
3.00 stars	Bohren & der Club of Gore - Black Earth	2.50 stars
4.00 stars	the Mountain Goats - Tallahassee	4.00 stars
3.50 stars	The Necks - Drive By	3.50 stars
4.00 stars	Supersilent - 6	3.50 stars
4.50 stars	Xiu Xiu - A Promise	3.50 stars
