rental	Album	mandroid
3.50 stars	Thinking Fellers Union Local 282 - Mother of All Saints	4.00 stars
3.50 stars	Thinking Fellers Union Local 282 - Admonishing the Bishops	4.50 stars
4.00 stars	Thinking Fellers Union Local 282 - Strangers From the Universe	4.50 stars
3.50 stars	Thinking Fellers Union Local 282 - I Hope It Lands	4.00 stars
3.00 stars	Thinking Fellers Union Local 282 - Bob Dinners and Larry Noodles Present Tubby Turdner's Celebrity Avalanche	4.00 stars
4.00 stars	This Heat - This Heat	4.50 stars
3.50 stars	This Heat - Health and Efficiency	4.00 stars
3.50 stars	Throbbing Gristle - 20 Jazz Funk Greats	4.00 stars
3.50 stars	Tomorrows Tulips - When	4.00 stars
3.50 stars	Ton Steine Scherben - Keine Macht für Niemand	4.50 stars
4.50 stars	Total Control - Henge Beat	4.00 stars
3.50 stars	TV on the Radio - Return to Cookie Mountain	4.50 stars
4.00 stars	Tyvek - Nothing Fits	4.00 stars
4.00 stars	Tyvek - On Triple Beams	4.00 stars
3.50 stars	Ultimate Painting - Green Lanes	4.00 stars
3.50 stars	Unknown Mortal Orchestra - II	4.00 stars
4.00 stars	The Urinals - Negative Capability... Check It Out!	4.50 stars
3.00 stars	U.S. Girls - In a Poem Unlimited	4.00 stars
4.00 stars	U.S. Maple - Long Hair in Three Stages	4.50 stars
3.50 stars	The UV Race - Homo	4.00 stars
3.00 stars	The UV Race - Racism	4.00 stars
4.00 stars	Chad VanGaalen - Diaper Island	4.00 stars
4.00 stars	The Velvet Underground - White Light / White Heat	5.00 stars
4.00 stars	Wand - Golem	4.50 stars
3.50 stars	Gary War - Horribles Parade / Galactic Citizens	4.00 stars
4.50 stars	Watery Love - Decorative Feeding	4.00 stars
3.50 stars	White Fence - Cyclops Reap	4.00 stars
3.50 stars	White Lung - It's the Evil	4.00 stars
4.50 stars	WHY? - Alopecia	4.00 stars
3.50 stars	Windy & Carl - Drawing of Sound	4.50 stars
