rental	Album	xizura
5.00 stars	Animal Collective - Merriweather Post Pavilion	4.50 stars
2.50 stars	The Antlers - Hospice	3.50 stars
3.00 stars	ROME - Flowers From Exile	3.50 stars
3.50 stars	A Place to Bury Strangers - Exploding Head	3.50 stars
4.00 stars	The Flaming Lips - Embryonic	3.50 stars
3.00 stars	Vampire Weekend - Contra	3.00 stars
3.00 stars	Four Tet - There Is Love in You	3.50 stars
4.50 stars	Beach House - Teen Dream	4.00 stars
3.00 stars	Daughters - Daughters	3.50 stars
3.00 stars	Titus Andronicus - The Monitor	4.00 stars
3.50 stars	Sun Araw - On Patrol	3.50 stars
4.50 stars	MGMT - Congratulations	4.00 stars
3.50 stars	Flying Lotus - Cosmogramma	4.50 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Before Today	4.00 stars
3.00 stars	Baths - Cerulean	3.50 stars
3.00 stars	Nails - Unsilent Death	3.50 stars
4.50 stars	Deerhunter - Halcyon Digest	4.50 stars
5.00 stars	Women - Public Strain	4.00 stars
3.50 stars	Destroyer - Kaputt	4.50 stars
4.00 stars	Colin Stetson - New History Warfare Vol. 2: Judges	4.00 stars
4.00 stars	Grouper - A I A: Alien Observer	4.00 stars
3.50 stars	Fleet Foxes - Helplessness Blues	4.00 stars
4.00 stars	The Caretaker - An Empty Bliss Beyond This World	4.50 stars
4.00 stars	John Maus - We Must Become the Pitiless Censors of Ourselves	4.00 stars
3.00 stars	Shabazz Palaces - Black Up	3.50 stars
4.00 stars	Kendrick Lamar - Section.80	3.50 stars
4.00 stars	Danny Brown - XXX	4.50 stars
4.00 stars	Thee Oh Sees - Carrion Crawler / The Dream EP	4.00 stars
4.00 stars	Lil Ugly Mane - Mista Thug Isolation	4.50 stars
3.00 stars	Lil B - God's Father	4.00 stars
3.50 stars	Death Grips - The Money Store	4.50 stars
4.00 stars	Beach House - Bloom	4.50 stars
3.50 stars	alt-J - An Awesome Wave	4.00 stars
3.00 stars	Japandroids - Celebration Rock	3.50 stars
4.50 stars	Fiona Apple - The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do	4.00 stars
3.50 stars	Frank Ocean - channel ORANGE	4.50 stars
3.50 stars	Goat - World Music	4.00 stars
4.00 stars	Grizzly Bear - Shields	3.50 stars
