rental	Album	eccojam
4.00 stars	GFOTY - GFOTYBUCKS	3.50 stars
3.50 stars	Charli XCX - Pop 2	4.00 stars
3.50 stars	Deszcz - III	3.50 stars
4.00 stars	JPEGMAFIA - Veteran	3.00 stars
3.00 stars	Jakub Lemiszewski - Bubblegum New Age	3.00 stars
3.50 stars	Car Seat Headrest - Twin Fantasy	3.50 stars
3.00 stars	Against All Logic - 2012 - 2017	3.50 stars
3.00 stars	Kero Kero Bonito - TOTEP	3.50 stars
3.50 stars	Park Jiha - Communion	4.00 stars
3.00 stars	Brett Naucke - The Mansion	3.50 stars
3.50 stars	julek ploski - Tesco	4.00 stars
3.50 stars	Preoccupations - New Material	3.00 stars
4.00 stars	The Garden - Mirror Might Steal Your Charm	3.50 stars
3.50 stars	Iceage - Beyondless	3.50 stars
4.00 stars	Tropical Fuck Storm - A Laughing Death in Meatspace	4.00 stars
4.00 stars	Beach House - 7	3.50 stars
4.00 stars	Deerhunter - Double Dream of Spring	3.00 stars
3.00 stars	Mary Lattimore - Hundreds of Days	3.50 stars
4.50 stars	Parquet Courts - Wide Awaaaaake!	3.50 stars
3.00 stars	Shygirl - Cruel Practice	4.00 stars
4.00 stars	Pusha T - DAYTONA	4.00 stars
3.50 stars	Oneohtrix Point Never - Age Of	3.00 stars
3.00 stars	Kids See Ghosts - Kids See Ghosts	3.00 stars
3.50 stars	Snail Mail - Lush	3.00 stars
3.50 stars	Death Grips - Year of the Snitch	2.50 stars
3.50 stars	Deafheaven - Ordinary Corrupt Human Love	3.00 stars
3.50 stars	Denzel Curry - TA13OO	3.00 stars
3.50 stars	Mid-Air Thief - 무너지기 (Crumbling)	3.00 stars
4.00 stars	Mitski - Be the Cowboy	3.00 stars
3.50 stars	Blood Orange - Negro Swan	3.00 stars
3.50 stars	IDLES - Joy as an Act of Resistance.	3.50 stars
3.50 stars	Yves Tumor - Safe in the Hands of Love	3.50 stars
3.00 stars	Amnesia Scanner - Another Life	4.00 stars
3.50 stars	Low - Double Negative	4.00 stars
