rental	Album	JoeCooper
3.50 stars	Weyes Blood and the Dark Juices - The Outside Room	3.50 stars
4.00 stars	Iceage - New Brigade	3.50 stars
3.50 stars	Yuck - Yuck	4.00 stars
4.00 stars	Grouper - A I A: Alien Observer	4.00 stars
4.00 stars	Death Grips - Exmilitary	4.00 stars
3.00 stars	Giles Corey - Giles Corey	4.00 stars
4.00 stars	The Men - Leave Home	3.00 stars
4.00 stars	The Caretaker - An Empty Bliss Beyond This World	3.50 stars
4.00 stars	Danny Brown - XXX	5.00 stars
3.00 stars	Amen Dunes - Through Donkey Jaw	3.50 stars
3.50 stars	Real Estate - Days	4.50 stars
3.50 stars	James Ferraro - Far Side Virtual	2.50 stars
3.50 stars	Car Seat Headrest - Twin Fantasy	4.50 stars
4.00 stars	Lil Ugly Mane - Mista Thug Isolation	4.00 stars
4.50 stars	The Men - Open Your Heart	4.50 stars
3.00 stars	Lil B - God's Father	4.00 stars
4.00 stars	Merchandise - Children of Desire	3.00 stars
3.50 stars	Dean Blunt & Inga Copeland - The Attitude Era	3.00 stars
4.00 stars	Dean Blunt & Inga Copeland - Black Is Beautiful	5.00 stars
3.50 stars	Death Grips - The Money Store	4.50 stars
4.00 stars	Beach House - Bloom	4.00 stars
3.00 stars	Japandroids - Celebration Rock	3.00 stars
4.50 stars	Fiona Apple - The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do	4.50 stars
3.50 stars	Frank Ocean - channel ORANGE	3.00 stars
5.00 stars	Parquet Courts - Light Up Gold	4.50 stars
3.50 stars	Goat - World Music	4.00 stars
3.00 stars	Wild Nothing - Nocturne	4.00 stars
3.00 stars	Swans - The Seer	3.50 stars
4.00 stars	Death Grips - NO LOVE DEEP WEB	3.00 stars
4.00 stars	Tame Impala - Lonerism	4.00 stars
3.50 stars	METZ - METZ	3.50 stars
4.00 stars	Mac DeMarco - 2	3.50 stars
3.50 stars	Metá Metá - MetaL MetaL	4.00 stars
3.50 stars	Tim Hecker & Daniel Lopatin - Instrumental Tourist	3.50 stars
3.50 stars	Alex Cameron - Jumping the Shark	4.00 stars
3.00 stars	Fire! Orchestra - Exit!	4.00 stars
3.50 stars	My Bloody Valentine - m b v	4.00 stars
4.00 stars	Iceage - You're Nothing	3.00 stars
3.50 stars	Tony Molina - Dissed and Dismissed	3.00 stars
3.50 stars	The Men - New Moon	3.50 stars
4.00 stars	Dean Blunt - The Redeemer	5.00 stars
3.50 stars	Dirty Beaches - Drifters / Love Is the Devil	4.00 stars
3.50 stars	Deafheaven - Sunbather	3.50 stars
3.00 stars	Kanye West - Yeezus	4.00 stars
3.00 stars	Run the Jewels - Run the Jewels	4.00 stars
4.00 stars	Fuck Buttons - Slow Focus	4.00 stars
3.50 stars	Raspberry Bulbs - Deformed Worship	4.00 stars
3.50 stars	Diarrhea Planet - I'm Rich Beyond Your Wildest Dreams	4.00 stars
3.50 stars	Forest Swords - Engravings	3.50 stars
4.00 stars	Huerco S. - Colonial Patterns	4.00 stars
3.50 stars	DJ Rashad - Double Cup	4.00 stars
3.50 stars	Dean Blunt - Skin Fade	3.50 stars
4.00 stars	Freddie Gibbs & Madlib - Piñata	3.50 stars
3.00 stars	The Body - I Shall Die Here	3.50 stars
3.50 stars	Cloud Nothings - Here and Nowhere Else	4.00 stars
3.50 stars	HTRK - Psychic 9-5 Club	4.00 stars
4.00 stars	Mac DeMarco - Salad Days	3.50 stars
3.50 stars	Parquet Courts - Sunbathing Animal	4.00 stars
4.00 stars	Alex G - DSU	3.50 stars
3.50 stars	Run the Jewels - Run the Jewels 2	3.50 stars
4.00 stars	Dean Blunt - Black Metal	5.00 stars
4.00 stars	Parkay Quarts - Content Nausea	3.50 stars
3.00 stars	D'Angelo and The Vanguard - Black Messiah	4.00 stars
3.50 stars	Twerps - Range Anxiety	3.50 stars
4.00 stars	Levon Vincent - Levon Vincent	4.50 stars
4.50 stars	The Coneheads - L​.​P​.​1.: "14 Year Old High School PC​-​Fascist Hype Lords Rip Off Devo for the Sake of Extorting $​$​$ From Helpless Impressionable Midwestern Internet Peoplepunks L​.​P​."	4.50 stars
3.50 stars	G.L.O.S.S. - Girls Living Outside Society's Shit	4.00 stars
4.00 stars	Kendrick Lamar - To Pimp a Butterfly	3.00 stars
4.00 stars	Earl Sweatshirt - I Don't Like Shit, I Don't Go Outside	3.50 stars
4.50 stars	Young Thug - Barter 6	5.00 stars
3.50 stars	Hop Along - Painted Shut	3.50 stars
3.00 stars	Prurient - Frozen Niagara Falls	3.50 stars
3.50 stars	Holly Herndon - Platform	3.00 stars
3.50 stars	Thee Oh Sees - Mutilator Defeated at Last	4.00 stars
3.50 stars	Container - LP	4.00 stars
4.50 stars	Institute - Catharsis	3.50 stars
4.00 stars	Future - DS2	4.00 stars
4.00 stars	Travis Scott - Rodeo	3.50 stars
3.50 stars	U.S. Girls - Half Free	4.00 stars
4.00 stars	Joanna Newsom - Divers	3.50 stars
4.00 stars	David Bowie - ★ [Blackstar]	4.50 stars
3.50 stars	Not Waving - Animals	4.00 stars
3.50 stars	Nap Eyes - Thought Rock Fish Scale	3.50 stars
3.50 stars	Big Ups - Before a Million Universes	3.00 stars
4.00 stars	Anna Meredith - Varmints	4.00 stars
4.50 stars	Denzel Curry - Imperial	4.50 stars
3.50 stars	Babyfather - BBF Hosted by DJ Escrow	3.00 stars
3.50 stars	Tim Hecker - Love Streams	4.00 stars
